,loan_status,loan_amnt,grade,home_ownership,annual_inc,age,emp_cat,ir_cat
26537,1,15000,E,RENT,62000,21,0-15,13.5+
19503,1,6600,D,RENT,30000,29,0-15,13.5+
5461,1,2200,A,MORTGAGE,45000,31,0-15,0-8
23727,1,24250,D,RENT,136000,31,0-15,13.5+
19192,1,2500,C,RENT,18984,22,15-30,13.5+
19653,1,5000,B,RENT,49800,45,0-15,Missing
28168,1,10000,C,MORTGAGE,80000,36,0-15,11-13.5
11819,1,10000,B,RENT,54996,28,0-15,11-Aug
4904,1,3000,C,MORTGAGE,58000,27,15-30,13.5+
14072,1,3000,A,MORTGAGE,48000,37,Missing,0-8
26431,1,3500,D,MORTGAGE,97992,22,15-30,13.5+
3857,1,6000,B,RENT,47000,25,0-15,11-13.5
13286,1,6700,A,RENT,12000,22,0-15,0-8
20533,1,10000,C,MORTGAGE,23000,25,0-15,Missing
23899,1,5000,A,MORTGAGE,88000,28,15-30,11-Aug
18762,1,10000,A,MORTGAGE,135000,31,0-15,0-8
37,1,5000,A,MORTGAGE,1.00E+05,27,15-30,11-Aug
11386,1,2400,C,RENT,18000,26,0-15,11-13.5
24100,1,25000,B,MORTGAGE,80000,23,0-15,11-13.5
27327,1,12250,D,RENT,30000,22,0-15,13.5+
19266,1,10000,C,RENT,32000,23,15-30,11-13.5
16052,1,8000,D,RENT,50000,21,0-15,13.5+
6178,1,6000,D,RENT,18835.2,27,0-15,13.5+
24891,1,20000,B,RENT,85000,29,0-15,11-13.5
21838,1,15200,C,MORTGAGE,125000,29,0-15,13.5+
20097,1,1600,B,RENT,18000,33,0-15,11-Aug
8854,1,9950,C,RENT,30784,33,0-15,11-13.5
28270,1,7200,C,RENT,31000,29,0-15,11-13.5
19394,1,19600,D,RENT,77000,33,15-30,13.5+
11530,1,2500,A,RENT,150000,44,0-15,0-8
24029,1,8000,C,RENT,39100,39,0-15,13.5+
1064,1,8475,B,RENT,38423.87,32,0-15,Missing
11986,1,10000,B,RENT,36000,27,0-15,11-Aug
28512,1,5000,B,RENT,69600,30,0-15,11-Aug
25180,1,14800,F,MORTGAGE,60000,29,0-15,13.5+
6029,1,10000,A,MORTGAGE,50000,26,0-15,0-8
11751,1,10000,A,RENT,57000,22,15-30,0-8
12648,1,5250,A,RENT,24000,23,0-15,0-8
12352,1,3000,B,RENT,40000,28,0-15,11-Aug
2930,1,7000,A,OWN,27600,24,0-15,0-8
14694,1,25000,B,MORTGAGE,65000,21,15-30,11-Aug
20417,1,12000,A,MORTGAGE,80000,25,0-15,0-8
4583,1,12000,D,MORTGAGE,44004,27,0-15,13.5+
5466,1,3200,D,RENT,60000,22,0-15,13.5+
24741,1,4000,B,MORTGAGE,60000,22,0-15,11-13.5
4471,1,10000,D,OWN,36000,36,0-15,13.5+
18388,1,10500,D,RENT,50000,30,0-15,13.5+
6642,1,14500,A,MORTGAGE,76500,26,0-15,0-8
6429,1,4000,D,MORTGAGE,25344,24,0-15,13.5+
