vendor_id,pick_date,drop_date,n_passenger,trip_distance,ratecode_id,store_and_fwd_flag,pick_loc_id,drop_loc_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pick_day,pick_dow,pick_wkday,trip_duration
2,7/5/2016 9:31,7/5/2016 9:38,1,1.28,1,N,237,236,Cash,7,0,0.5,0,0,0.3,7.8,7/5/2016,Tue,TRUE,6.35
1,7/16/2016 23:53,7/16/2016 23:58,1,1.7,1,N,237,236,Card,6.5,0.5,0.5,1.95,0,0.3,9.75,7/16/2016,Sat,FALSE,4.966666667
1,7/15/2016 8:44,7/15/2016 8:47,1,0.6,1,N,237,236,Card,4,0,0.5,0.72,0,0.3,5.52,7/15/2016,Fri,TRUE,2.583333333
1,7/18/2016 16:03,7/18/2016 16:08,1,1,1,N,237,236,Card,6,1,0.5,1.55,0,0.3,9.35,7/18/2016,Mon,TRUE,5.116666667
2,7/20/2016 6:58,7/20/2016 7:01,1,0.63,1,N,237,236,Cash,5,0,0.5,0,0,0.3,5.8,7/20/2016,Wed,TRUE,3.733333333
1,7/8/2016 11:37,7/8/2016 11:43,1,0.9,1,Y,237,236,Card,6,0,0.5,1.35,0,0.3,8.15,7/8/2016,Fri,TRUE,6.35
2,7/16/2016 18:59,7/16/2016 19:02,1,0.78,1,N,237,236,Cash,4.5,0,0.5,0,0,0.3,5.3,7/16/2016,Sat,FALSE,2.75
2,7/4/2016 11:45,7/4/2016 11:50,1,1.63,1,N,237,236,Cash,7,0,0.5,0,0,0.3,7.8,7/4/2016,Mon,TRUE,5.533333333
1,7/19/2016 10:13,7/19/2016 10:21,2,1.5,1,N,237,236,Card,8,0,0.5,0.75,0,0.3,9.55,7/19/2016,Tue,TRUE,8.383333333
2,7/20/2016 19:27,7/20/2016 19:34,1,1.26,1,N,237,236,Cash,7,1,0.5,0,0,0.3,8.8,7/20/2016,Wed,TRUE,7.25
1,7/5/2016 15:13,7/5/2016 15:20,2,1.6,1,N,237,236,Cash,8,0,0.5,0,0,0.3,8.8,7/5/2016,Tue,TRUE,7.483333333
1,7/21/2016 13:16,7/21/2016 13:23,1,1.4,1,N,237,236,Card,7,0,0.5,1,0,0.3,8.8,7/21/2016,Thu,TRUE,6.366666667
1,7/15/2016 17:10,7/15/2016 17:17,2,1.1,1,N,237,236,Card,7,1,0.5,1.76,0,0.3,10.56,7/15/2016,Fri,TRUE,7.833333333
2,7/13/2016 9:56,7/13/2016 10:00,1,0.72,1,N,237,236,Card,5,0,0.5,1.16,0,0.3,6.96,7/13/2016,Wed,TRUE,4.083333333
1,7/4/2016 8:39,7/4/2016 8:44,1,0.9,1,N,237,236,Card,6,0,0.5,1.35,0,0.3,8.15,7/4/2016,Mon,TRUE,4.7
2,7/19/2016 8:45,7/19/2016 8:51,1,1.21,1,N,237,236,Card,6.5,0,0.5,1.82,0,0.3,9.12,7/19/2016,Tue,TRUE,6.283333333
2,7/15/2016 11:30,7/15/2016 11:39,2,1.44,1,N,237,236,Card,8.5,0,0.5,0,0,0.3,9.3,7/15/2016,Fri,TRUE,9.05
2,7/26/2016 19:42,7/26/2016 19:44,2,0.62,1,N,237,236,Cash,4,1,0.5,0,0,0.3,5.8,7/26/2016,Tue,TRUE,2.033333333
2,7/30/2016 3:39,7/30/2016 3:41,2,0.9,1,N,237,236,Card,4.5,0.5,0.5,1,0,0.3,6.8,7/30/2016,Sat,FALSE,2
2,7/24/2016 19:00,7/24/2016 19:06,5,1.44,1,N,237,236,Card,6.5,0,0.5,2,0,0.3,9.3,7/24/2016,Sun,FALSE,5.583333333
1,7/11/2016 15:04,7/11/2016 15:12,1,1.3,1,Y,237,236,Cash,7.5,0,0.5,0,0,0.3,8.3,7/11/2016,Mon,TRUE,8.2
2,7/6/2016 8:15,7/6/2016 8:19,5,0.68,1,N,237,236,Cash,4.5,0,0.5,0,0,0.3,5.3,7/6/2016,Wed,TRUE,3.95
1,7/7/2016 17:25,7/7/2016 17:34,1,1.5,1,N,237,236,Card,8.5,1,0.5,1,0,0.3,11.3,7/7/2016,Thu,TRUE,8.75
2,7/25/2016 12:48,7/25/2016 12:50,1,0.9,1,N,237,236,Card,4.5,0,0.5,1,0,0.3,6.3,7/25/2016,Mon,TRUE,2.6
1,7/19/2016 15:01,7/19/2016 15:08,1,1.1,1,N,237,236,Card,6.5,0,0.5,1.45,0,0.3,8.75,7/19/2016,Tue,TRUE,7.483333333
1,7/19/2016 14:19,7/19/2016 14:23,1,0.8,1,N,237,236,Card,5,0,0.5,1.15,0,0.3,6.95,7/19/2016,Tue,TRUE,3.733333333
1,7/13/2016 9:16,7/13/2016 9:18,1,0.4,1,N,237,236,Card,4,0,0.5,0.95,0,0.3,5.75,7/13/2016,Wed,TRUE,2.416666667
1,7/20/2016 8:34,7/20/2016 8:40,1,1.1,1,N,237,236,Card,6,0,0.5,1.35,0,0.3,8.15,7/20/2016,Wed,TRUE,5.616666667
2,7/11/2016 15:18,7/11/2016 15:21,6,0.52,1,N,237,236,Card,4,0,0.5,0.8,0,0.3,5.6,7/11/2016,Mon,TRUE,2.233333333
2,7/25/2016 14:31,7/25/2016 14:35,1,1.3,1,N,237,236,Card,6,0,0.5,1.36,0,0.3,8.16,7/25/2016,Mon,TRUE,4.7
1,7/15/2016 19:36,7/15/2016 19:38,1,0.4,1,N,237,236,Cash,3.5,1,0.5,0,0,0.3,5.3,7/15/2016,Fri,TRUE,1.866666667
1,7/29/2016 18:13,7/29/2016 18:19,1,1.6,1,N,237,236,Card,7.5,1,0.5,1.85,0,0.3,11.15,7/29/2016,Fri,TRUE,6.433333333
1,7/19/2016 0:32,7/19/2016 0:39,1,2,1,N,237,236,Card,8.5,0.5,0.5,1.95,0,0.3,11.75,7/19/2016,Tue,TRUE,7.216666667
1,7/26/2016 16:57,7/26/2016 17:00,1,0.6,1,N,237,236,Card,4.5,1,0.5,1.25,0,0.3,7.55,7/26/2016,Tue,TRUE,3.433333333
1,7/1/2016 15:25,7/1/2016 15:32,1,1.7,1,N,237,236,Card,7,0,0.5,0.55,0,0.3,8.35,7/1/2016,Fri,TRUE,6.133333333
1,7/6/2016 16:32,7/6/2016 16:39,1,2,1,N,237,236,Cash,8.5,1,0.5,0,0,0.3,10.3,7/6/2016,Wed,TRUE,7.75
1,7/11/2016 11:51,7/11/2016 11:56,1,0.6,1,N,237,236,Card,4.5,0,0.5,1.05,0,0.3,6.35,7/11/2016,Mon,TRUE,4.166666667
1,7/6/2016 6:41,7/6/2016 6:44,1,0.7,1,N,237,236,Cash,4.5,0,0.5,0,0,0.3,5.3,7/6/2016,Wed,TRUE,2.7
1,7/9/2016 9:53,7/9/2016 9:55,1,0.6,1,N,237,236,Cash,4,0,0.5,0,0,0.3,4.8,7/9/2016,Sat,FALSE,1.95
1,7/8/2016 0:50,7/8/2016 0:52,1,1.1,1,N,237,236,Card,5,0.5,0.5,1.25,0,0.3,7.55,7/8/2016,Fri,TRUE,2.766666667
1,7/17/2016 18:25,7/17/2016 18:26,1,0.5,1,N,237,236,Cash,3.5,0,0.5,0,0,0.3,4.3,7/17/2016,Sun,FALSE,1.183333333
2,7/17/2016 9:01,7/17/2016 9:05,1,1.13,1,N,237,236,Card,5.5,0,0.5,1,0,0.3,7.3,7/17/2016,Sun,FALSE,3.566666667
2,7/26/2016 11:45,7/26/2016 11:50,2,0.98,1,N,237,236,Cash,6,0,0.5,0,0,0.3,6.8,7/26/2016,Tue,TRUE,5.383333333
1,7/25/2016 16:56,7/25/2016 17:02,2,1.2,1,N,237,236,Cash,7,1,0.5,0,0,0.3,8.8,7/25/2016,Mon,TRUE,6.35
2,7/28/2016 18:48,7/28/2016 18:49,2,0.36,1,N,237,236,Card,3,1,0.5,0.96,0,0.3,5.76,7/28/2016,Thu,TRUE,1.016666667
1,7/13/2016 21:12,7/13/2016 21:17,2,1.3,1,N,237,236,Card,6,0.5,0.5,1,0,0.3,8.3,7/13/2016,Wed,TRUE,4.866666667
2,7/27/2016 16:53,7/27/2016 17:00,6,1.22,1,N,237,236,Cash,7,1,0.5,0,0,0.3,8.8,7/27/2016,Wed,TRUE,6.75
1,7/19/2016 16:55,7/19/2016 16:58,1,0.6,1,N,237,236,Card,4.5,1,0.5,0.8,0,0.3,7.1,7/19/2016,Tue,TRUE,3.016666667
1,7/18/2016 10:49,7/18/2016 10:57,1,1.7,1,Y,237,236,Cash,8.5,0,0.5,0,0,0.3,9.3,7/18/2016,Mon,TRUE,8.55
1,7/19/2016 9:28,7/19/2016 9:33,1,0.9,1,N,237,236,Cash,5.5,0,0.5,0,0,0.3,6.3,7/19/2016,Tue,TRUE,4.833333333
2,7/11/2016 14:23,7/11/2016 14:28,2,0.23,1,N,237,236,Card,5,0,0.5,1.45,0,0.3,7.25,7/11/2016,Mon,TRUE,4.883333333
1,7/13/2016 21:05,7/13/2016 21:09,1,1.1,1,N,237,236,Card,5.5,0.5,0.5,1.35,0,0.3,8.15,7/13/2016,Wed,TRUE,3.633333333
2,7/20/2016 12:31,7/20/2016 12:36,1,0.91,1,N,237,236,Card,5.5,0,0.5,1.26,0,0.3,7.56,7/20/2016,Wed,TRUE,4.85
2,7/3/2016 13:37,7/3/2016 13:44,1,1.47,1,N,237,236,Cash,7.5,0,0.5,0,0,0.3,8.3,7/3/2016,Sun,FALSE,7.2
2,7/27/2016 22:32,7/27/2016 22:42,1,1.57,1,N,237,236,Card,8.5,0.5,0.5,2.45,0,0.3,12.25,7/27/2016,Wed,TRUE,9.6
1,7/27/2016 17:07,7/27/2016 17:12,1,0.9,1,N,237,236,Card,6,1,0.5,1,0,0.3,8.8,7/27/2016,Wed,TRUE,5.15
2,7/27/2016 14:19,7/27/2016 14:23,1,0.91,1,N,237,236,Card,5,0,0.5,1.16,0,0.3,6.96,7/27/2016,Wed,TRUE,4.4
2,7/19/2016 11:15,7/19/2016 11:21,1,0.8,1,N,237,236,Card,6,0,0.5,1.36,0,0.3,8.16,7/19/2016,Tue,TRUE,5.75
2,7/29/2016 18:04,7/29/2016 18:10,1,0.96,1,N,237,236,Card,6,1,0.5,1.56,0,0.3,9.36,7/29/2016,Fri,TRUE,5.233333333
1,7/21/2016 10:03,7/21/2016 10:09,1,0.9,1,N,237,236,Cash,6.5,0,0.5,0,0,0.3,7.3,7/21/2016,Thu,TRUE,6.233333333
2,7/27/2016 17:05,7/27/2016 17:13,1,1.44,1,N,237,236,Card,7.5,1,0.5,1.86,0,0.3,11.16,7/27/2016,Wed,TRUE,8.383333333
2,7/16/2016 17:25,7/16/2016 17:29,3,1.32,1,N,237,236,Cash,5.5,0,0.5,0,0,0.3,6.3,7/16/2016,Sat,FALSE,3.45
2,7/9/2016 15:28,7/9/2016 15:34,1,0.99,1,N,237,236,Card,6,0,0.5,1,0,0.3,7.8,7/9/2016,Sat,FALSE,5.466666667
1,7/28/2016 9:48,7/28/2016 9:54,1,1.3,1,N,237,236,Card,7,0,0.5,1.2,0,0.3,9,7/28/2016,Thu,TRUE,6.7
2,7/7/2016 18:25,7/7/2016 18:30,1,1.05,1,N,237,236,Card,5.5,1,0.5,1.46,0,0.3,8.76,7/7/2016,Thu,TRUE,4.55
1,7/21/2016 19:34,7/21/2016 19:36,1,0.6,1,N,237,236,Cash,4.5,1,0.5,0,0,0.3,6.3,7/21/2016,Thu,TRUE,2.666666667
1,7/23/2016 6:17,7/23/2016 6:19,1,1,1,N,237,236,Cash,5,0,0.5,0,0,0.3,5.8,7/23/2016,Sat,FALSE,2.133333333
2,7/19/2016 8:29,7/19/2016 8:35,5,0.92,1,N,237,236,Card,5.5,0,0.5,1.26,0,0.3,7.56,7/19/2016,Tue,TRUE,5.6
2,7/23/2016 18:59,7/23/2016 19:03,1,1.37,1,N,237,236,Card,6,0,0.5,0,0,0.3,6.8,7/23/2016,Sat,FALSE,4.1
2,7/14/2016 8:21,7/14/2016 8:24,1,0.26,1,N,237,236,Cash,4,0,0.5,0,0,0.3,4.8,7/14/2016,Thu,TRUE,2.916666667
1,7/11/2016 13:58,7/11/2016 14:07,1,1.4,1,N,237,236,Cash,8,0,0.5,0,0,0.3,8.8,7/11/2016,Mon,TRUE,8.2
1,7/7/2016 13:14,7/7/2016 13:20,1,0.7,1,N,237,236,Cash,5.5,0,0.5,0,0,0.3,6.3,7/7/2016,Thu,TRUE,5.95
2,7/2/2016 14:28,7/2/2016 14:30,1,0.45,1,N,237,236,Cash,3.5,0,0.5,0,0,0.3,4.3,7/2/2016,Sat,FALSE,1.816666667
2,7/6/2016 10:44,7/6/2016 10:49,1,0.78,1,N,237,236,Cash,5,0,0.5,0,0,0.3,5.8,7/6/2016,Wed,TRUE,4.283333333
2,7/11/2016 16:59,7/11/2016 17:04,1,1.05,1,N,237,236,Card,6,1,0.5,1.56,0,0.3,9.36,7/11/2016,Mon,TRUE,5.033333333
