points_5,points_4,points_3,points_2,points_1
Yellow-eyed penguin,Kea,Tūī,Southern Royal Albatross,Southern Brown Kiwi
Yellow-eyed penguin,Kererū,Tūī,Saddleback,Rockhopper Penguin
Fiordland Crested Penguin,Bar-tailed Godwit,Banded Dotterel,Black Robin,Blue Duck
Fantail,Kea,Tūī,Kākā,Kākāpō
Kākāpō,Little Spotted Kiwi,Rockhopper Penguin,Kōkako,Shore Plover
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Black Robin,Orange-fronted Parakeet,Little Spotted Kiwi,Kākā
Australasian Crested Grebe,Blue Duck,New Zealand Falcon,Tomtit,Kea
Antipodean Albatross,Southern Brown Kiwi,Southern Royal Albatross,Great Spotted Kiwi,Barn Owl
Kererū,Rockhopper Penguin,Royal Spoonbill,Little Spotted Kiwi,Yellow-eyed penguin
Little Penguin,Silvereye,New Zealand Robin,Fantail,Kākā
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Variable Oystercatcher,Little Penguin,Blue Duck,Kererū
Yellow-eyed penguin,South Island Kōkako,Fairy Tern,Chatham Island Oystercatcher,Blue Duck
Kākā,Fantail,Little Spotted Kiwi,Kingfisher,Mōhua
Yellow-eyed penguin,Black Robin,NA,NA,NA
Kākāpō,Black Robin,Yellow-eyed penguin,Royal Spoonbill,Shining Cuckoo
Yellow-eyed penguin,Mōhua,Stitchbird,South Island Kōkako,Rockhopper Penguin
Black Robin,Black Stilt,Blue Duck,Shore Plover,Yellow-eyed penguin
Yellow-eyed penguin,Orange-fronted Parakeet,Morepork,Kererū,Kākāpō
Yellow-eyed penguin,NA,NA,NA,NA
Royal Spoonbill,Chatham Island Mollymawk,Silvereye,Fairy Tern,South Island Kōkako
Kererū,Kākāpō,Little Spotted Kiwi,NA,NA
Southern Brown Kiwi,Blue Duck,Black Robin,Yellow-eyed penguin,Whenua Hou Diving Petrel
New Zealand Falcon,Black Robin,Chatham Island Mollymawk,South Island Kōkako,Shore Plover
Rock Wren,Rockhopper Penguin,Fairy Tern,Tomtit,Takahē
Bellbird,Banded Dotterel,Bittern,Hutton's Shearwater,Kōkako
Yellow-eyed penguin,Blue Duck,Black Stilt,Black-billed Gull,Banded Dotterel
Yellow-eyed penguin,NA,NA,NA,NA
Kea,Kākāpō,Orange-fronted Parakeet,Kākā,Black Stilt
Yellow-eyed penguin,Orange-fronted Parakeet,Mōhua,Kākā,Black Robin
Yellow-eyed penguin,Tūī,New Zealand Dotterel,Morepork,Kākā
Little Penguin,Morepork,New Zealand King Shag,Rockhopper Penguin,Southern Brown Kiwi
Yellow-eyed penguin,Blue Duck,Fairy Tern,Kākāpō,Takahē
Kākā,South Island Kōkako,Antipodean Albatross,Kākāpō,Orange-fronted Parakeet
Blue Duck,Rock Wren,Kākā,Morepork,Mōhua
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Barn Owl,Antipodean Albatross,Australasian Crested Grebe,Bellbird,Yellow-eyed penguin
Banded Dotterel,Kōkako,South Island Kōkako,Shining Cuckoo,Barn Owl
Fantail,Pūkeko,Silvereye,Little Spotted Kiwi,Black Robin
Kererū,Barn Owl,Little Penguin,New Zealand Falcon,Morepork
Fairy Tern,Grey Duck,Tūī,Kea,Kererū
Antipodean Albatross,Bar-tailed Godwit,Barn Owl,Bittern,Black Robin
Rockhopper Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,Orange-fronted Parakeet,Chatham Island Oystercatcher
Pūkeko,Little Spotted Kiwi,Rockhopper Penguin,Takahē,Silvereye
Saddleback,Kākā,Little Spotted Kiwi,Kea,Tūī
The Otago Shag,Northern Royal Albatross,Kākā,Black Robin,Yellow-eyed penguin
Yellow-eyed penguin,South Island Kōkako,Saddleback,Kea,Southern Royal Albatross
Kererū,Grey Warbler,Bellbird,Kākā,Tūī
Kākā,Kingfisher,Rifleman,Black Petrel,Black-billed Gull
Orange-fronted Parakeet,Kākā,Rockhopper Penguin,Yellow-eyed penguin,Morepork
