country,date,total_bombs
France,1/1/1962,0
France,5/1/1962,1
Russian Federation,1/1/1962,0
Russian Federation,2/2/1962,1
Russian Federation,8/1/1962,2
Russian Federation,8/3/1962,3
Russian Federation,8/4/1962,4
Russian Federation,8/5/1962,5
Russian Federation,8/7/1962,6
Russian Federation,8/10/1962,7
Russian Federation,8/18/1962,9
Russian Federation,8/20/1962,10
Russian Federation,8/21/1962,11
Russian Federation,8/22/1962,14
Russian Federation,8/23/1962,15
Russian Federation,8/25/1962,17
Russian Federation,8/27/1962,19
Russian Federation,8/31/1962,20
Russian Federation,9/2/1962,21
Russian Federation,9/8/1962,22
Russian Federation,9/15/1962,23
Russian Federation,9/16/1962,24
Russian Federation,9/18/1962,25
Russian Federation,9/19/1962,26
Russian Federation,9/21/1962,27
Russian Federation,9/22/1962,28
Russian Federation,9/24/1962,29
Russian Federation,9/25/1962,31
Russian Federation,9/27/1962,32
Russian Federation,9/28/1962,33
Russian Federation,10/7/1962,34
Russian Federation,10/9/1962,36
Russian Federation,10/10/1962,37
Russian Federation,10/13/1962,38
Russian Federation,10/14/1962,39
Russian Federation,10/20/1962,40
Russian Federation,10/22/1962,42
Russian Federation,10/27/1962,43
Russian Federation,10/28/1962,46
Russian Federation,10/29/1962,47
Russian Federation,10/30/1962,49
Russian Federation,10/31/1962,50
Russian Federation,11/1/1962,53
Russian Federation,11/3/1962,56
Russian Federation,11/4/1962,57
Russian Federation,11/5/1962,58
Russian Federation,11/11/1962,59
Russian Federation,11/13/1962,60
Russian Federation,11/14/1962,61
Russian Federation,11/17/1962,62
Russian Federation,11/24/1962,63
Russian Federation,11/26/1962,64
Russian Federation,12/1/1962,65
Russian Federation,12/18/1962,67
Russian Federation,12/20/1962,68
Russian Federation,12/22/1962,69
Russian Federation,12/23/1962,73
Russian Federation,12/24/1962,77
Russian Federation,12/25/1962,79
United States,1/1/1962,0
United States,1/9/1962,1
United States,1/18/1962,2
United States,1/30/1962,3
United States,2/8/1962,4
United States,2/9/1962,5
United States,2/15/1962,6
United States,2/19/1962,8
United States,2/23/1962,9
United States,2/24/1962,10
United States,3/1/1962,11
United States,3/5/1962,12
United States,3/6/1962,13
United States,3/8/1962,14
United States,3/15/1962,15
United States,3/28/1962,16
United States,3/31/1962,17
United States,4/5/1962,18
United States,4/6/1962,19
United States,4/12/1962,20
United States,4/14/1962,21
United States,4/21/1962,22
United States,4/25/1962,23
United States,4/27/1962,25
United States,5/2/1962,26
United States,5/4/1962,27
United States,5/6/1962,28
United States,5/7/1962,29
United States,5/8/1962,30
United States,5/9/1962,31
United States,5/10/1962,32
United States,5/11/1962,34
United States,5/12/1962,36
United States,5/14/1962,37
United States,5/19/1962,39
United States,5/25/1962,41
United States,5/27/1962,42
United States,6/1/1962,43
United States,6/6/1962,44
United States,6/8/1962,45
United States,6/9/1962,46
United States,6/10/1962,47
United States,6/12/1962,48
United States,6/13/1962,49
United States,6/15/1962,50
United States,6/17/1962,51
United States,6/19/1962,52
United States,6/21/1962,53
United States,6/22/1962,54
United States,6/27/1962,56
United States,6/28/1962,57
United States,6/30/1962,59
United States,7/6/1962,60
United States,7/7/1962,61
United States,7/9/1962,62
United States,7/10/1962,63
United States,7/11/1962,65
United States,7/13/1962,66
United States,7/14/1962,67
United States,7/17/1962,68
United States,7/27/1962,69
United States,8/24/1962,71
United States,9/6/1962,72
United States,9/14/1962,73
United States,9/20/1962,74
United States,9/29/1962,75
United States,10/2/1962,76
United States,10/5/1962,77
United States,10/6/1962,78
United States,10/12/1962,80
United States,10/18/1962,82
United States,10/19/1962,83
United States,10/20/1962,84
United States,10/26/1962,85
United States,10/27/1962,87
United States,10/30/1962,88
United States,11/1/1962,89
United States,11/4/1962,90
United States,11/9/1962,91
United States,11/15/1962,92
United States,11/27/1962,93
United States,12/4/1962,94
United States,12/7/1962,95
United States,12/12/1962,97
United States,12/14/1962,98
