planet,metric,value
Mercury,diameter,4879
Mercury,distance_to_sun,57.9
Mercury,temperature,167
Venus,diameter,12104
Venus,distance_to_sun,108.2
Venus,temperature,464
Earth,diameter,12756
Earth,distance_to_sun,149.6
Earth,temperature,15
Mars,diameter,6792
Mars,distance_to_sun,227.9
Mars,temperature,-65
Jupiter,diameter,142984
Jupiter,distance_to_sun,778.55
Jupiter,temperature,-110
Saturn,diameter,120536
Saturn,distance_to_sun,1433.55
Saturn,temperature,-140
Uranus,diameter,51118
Uranus,distance_to_sun,2872.45
Uranus,temperature,-195
Neptune,diameter,49528
Neptune,distance_to_sun,4495.1
Neptune,temperature,-200
