director,title
"Richard Finn, Tim Maltby",Norm of the North: King Sized Adventure
NA,Jandino: Whatever it Takes
Fernando Lebrija,#realityhigh
Gabe Ibáñez,Automata
"Rodrigo Toro, Francisco Schultz",Fabrizio Copano: Solo pienso en mi
Henrik Ruben Genz,Good People
José Miguel Contreras,Joaquín Reyes: Una y no más
Daniel Alfredson,Kidnapping Mr. Heineken
NA,Krish Trish and Baltiboy
"Munjal Shroff, Tilak Shetty",Krish Trish and Baltiboy: Battle of Wits
"Munjal Shroff, Tilak Shetty",Krish Trish and Baltiboy: Best Friends Forever
Tilak Shetty,Krish Trish and Baltiboy: Comics of India
Tilak Shetty,Krish Trish and Baltiboy: Oversmartness Never Pays
NA,Krish Trish and Baltiboy: Part II
"Munjal Shroff, Tilak Shetty",Krish Trish and Baltiboy: The Greatest Trick
Gaspar Noé,Love
Tom O'Brien,Manhattan Romance
Antoine Bardou-Jacquet,Moonwalkers
Mitch Dickman,Rolling Papers
Brad Anderson,Stonehearst Asylum
Austin Stark,The Runner
Hannah Fidell,6 Years
Madeleine Gavin,City of Joy
Sopon Sukdapisit,Laddaland
"Kevin R. Adams, Joe Ksander",Next Gen
Ian Samuels,Sierra Burgess Is A Loser
Franck Ribière,The Most Assassinated Woman in the World
Daniele Thompson,Cézanne et moi
Anubhav Sinha,Article 15
Maha Venkatesh,Care of Kancharapalem
Tharun Bhascker,Ee Nagaraniki Emaindi
Şenol Sönmez,Kill Me If You Dare
"Tom Gianas, Ross R. Shuman",Hell and Back
Rajkumar Hirani,PK
"Robert Osman, Nathanael Wiseman",Hard Tide
Jon Spira,Elstree 1976
NA,American Factory: A Conversation with the Obamas
Mez Tharatorn,ATM
Adisorn Tresirikasem,Bangkok Traffic (Love) Story
Mez Tharatorn,I Fine... Thank You... Love You
Banjong Pisanthanakun,One Day
"Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks",Phobia 2
"Banjong Pisanthanakun, Parkpoom Wongpoom",Shutter
Chayanop Boonprakob,Suckseed
Susan Johnson,Carrie Pilby
Lynn Shelton,Marc Maron: Too Real
Farhan Alam,Saawan
Chad Archibald,The Heretics
Brian Baugh,The World We Make
A. L. Vijay,Watchman
Ryan Coogler,Black Panther
Ben Palmer,Man Up
Chris Howe,Mo Gilligan: Momentum
Ken Kwapis,Big Miracle
Park In-je,The Mayor
"Rod Blackhurst, Brian McGinn",Amanda Knox
Jesse V. Johnson,The Debt Collector
Mahsun Kırmızıgül,Act of Vengeance
Monique Gardenberg,Paradise Lost
Mike Flanagan,Gerald's Game
Jacob LaMendola,Long Shot
Ritesh Batra,Our Souls at Night
Dylan Howitt,Out of Thin Air
William Lau,"Monster High: Boo York, Boo York"
Mana Yasuda,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna
Brian De Palma,Domino
Mana Yasuda,TUNA GIRL
Rizal Mantovani,5CM
Han Yan,Animal World
Jeremy Saulnier,Hold the Dark
Kim A. Snyder,Lessons from a School Shooting: Notes from Dunblane
Raditya Dika,Single
Rocky Soraya,The 3rd Eye
Sunil Soraya,The Sinking Of Van Der Wijck
"Álvaro Longoria, Gerardo Olivares",Two Catalonias
Brendan Byrne,Bobby Sands: 66 Days
Gupse Özay,Deliha 2
Jim Mickle,In the Shadow of the Moon
"Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi",Sturgill Simpson Presents Sound & Fury
Chi Fat Chan,Weeds on Fire
Nabil Ayouch,Much Loved
"Rob LaDuca, Robert C. Ramirez",Joseph: King of Dreams
Mangesh Hadawale,Malaal
Wong Kar Wai,The Grandmaster
Rob Cohen,The Hurricane Heist
Louis J. Horvitz,Def Comedy Jam 25
"Linda Saffire, Adam Schlesinger",Restless Creature: Wendy Whelan
"Luis Lopez, Clay Tweel",Print the Legend
Otilia Portillo Padua,Birders
Le Van Kiet,Furie
"Eric Summer, Éric Warin",Leap!
B. V. Nandini Reddy,Oh! Baby (Malayalam)
B. V. Nandini Reddy,Oh! Baby (Tamil)
Mario Van Peebles,USS Indianapolis: Men of Courage
Ava DuVernay,A Wrinkle in Time
Sonia Lowman,Teach Us All
Benjamin Turner,White Island
Michael J. Bassett,Inside Man: Most Wanted
Troy Miller,Jeff Dunham: Beside Himself
Tan Bing,China Salesman
Warren P. Sonoda,Swearnet: The Movie
Álex de la Iglesia,The Bar
Rahul Ravindran,Manmadhudu 2
Archie Borders,Under the Eiffel Tower
"Bonni Cohen, Jon Shenk",Audrie & Daisy
Bobcat Goldthwait,Iliza Shlesinger: Confirmed Kills
Deepti Naval,Do Paise Ki Dhoop Chaar Aane Ki Baarish
Morgan Neville,20 Feet From Stardom
Anthony Byrne,In Darkness
Chris Moukarbel,Gaga: Five Foot Two
Ana Lily Amirpour,The Bad Batch
Alex Winter,SMOSH: The Movie
Kemi Adetiba,King of Boys
Toka McBaror,Merry Men: The Real Yoruba Demons
Gilles Paquet-Brenner,Sarah's Key
Niyi Akinmolayan,The Wedding Party 2: Destination Dubai
"Rashida Jones, Alan Hicks",Quincy
NA,Rafinha Bastos: Ultimatum
Scott Aukerman,Between Two Ferns: The Movie
Amara Cash,Daddy Issues
Bedran Güzel,Travel Mates 2
NA,True: Tricky Treat Day
Chun Wong,Mad World
NA,The Bund
"Coerte Voorhees, John Voorhees",The First Line
Samuel D. Pollard,Maynard
Ham Tran,Bitcoin Heist
Feng Xiaogang,I Am Not Madame Bovary
Gary Michael Schultz,Vincent N Roxxy
Liv Ullmann,Miss Julie
Sandeep Reddy Vanga,Kabir Singh
"Jacques Perrin, Jacques Cluzaud",Océans
"Justin Benson, Aaron Moorhead",The Endless
Michael Bonfiglio,Jerry Before Seinfeld
