country,male,female,both_sexes
Afghanistan,3.2,7.6,5.5
Albania,21.6,21.8,21.7
Algeria,19.9,34.9,27.4
Andorra,25.9,25.3,25.6
Angola,4,12.1,8.2
Antigua and Barbuda,11.6,25.9,18.9
Argentina,27.3,29,28.3
Armenia,17.1,23,20.2
Australia,29.6,28.4,29
Austria,21.9,18.3,20.1
Azerbaijan,15.8,23.6,19.9
Bahamas,24.4,38.1,31.6
Bahrain,25.5,36.8,29.8
Bangladesh,2.3,5,3.6
Barbados,14.7,31.3,23.1
Belarus,22.1,26.3,24.5
Belgium,23.1,21,22.1
Belize,16.5,31.5,24.1
Benin,4.7,14.2,9.6
Bhutan,4.7,8.5,6.4
Bolivia (Plurinational State of),14.5,25.6,20.2
Bosnia and Herzegovina,17.1,18.4,17.9
Botswana,8.1,29.3,18.9
Brazil,18.5,25.4,22.1
Brunei Darussalam,12.5,15.7,14.1
Bulgaria,25.5,24.3,25
Burkina Faso,2.6,8.1,5.6
Burundi,2.1,8.6,5.4
Cabo Verde,6.9,16.3,11.8
Cambodia,2.7,4.8,3.9
Cameroon,6.1,16.4,11.4
Canada,29.5,29.3,29.4
Central African Republic,3.7,10.9,7.5
Chad,3.1,8.9,6.1
Chile,24.9,31,28
China,5.9,6.5,6.2
Colombia,17.6,26.6,22.3
Comoros,3.3,12.2,7.8
Congo,5.5,13.5,9.6
Cook Islands,52.6,59.2,55.9
Costa Rica,21.1,30.4,25.7
Côte d'Ivoire,5.8,15.2,10.3
Croatia,24.1,24.5,24.4
Cuba,18.9,30.3,24.6
Cyprus,21.9,21.6,21.8
Czechia,26.4,25.4,26
Democratic People's Republic of Korea,6.1,7.3,6.8
Democratic Republic of the Congo,3.6,9.7,6.7
Denmark,22.3,17,19.7
Djibouti,8.6,18.3,13.5
Dominica,19.9,35.6,27.9
Dominican Republic,21,34.1,27.6
Ecuador,14.9,24.7,19.9
Egypt,22.7,41.1,32
El Salvador,18.9,28.9,24.6
Equatorial Guinea,3.8,12.6,8
Eritrea,2,7.6,5
Estonia,20.3,21.8,21.2
Eswatini,5.4,26.2,16.5
Ethiopia,1.9,6.9,4.5
Fiji,25.1,35.3,30.2
Finland,23.7,20.6,22.2
France,22,21.1,21.6
Gabon,9.6,20.3,15
