,replicate,stat
1,1,-0.033333333
2,2,-0.025
3,3,-0.025
4,4,-0.041666667
5,5,-0.016666667
6,6,0.091666667
7,7,0.091666667
8,8,-0.008333333
9,9,0.025
10,10,0
11,11,0
12,12,0
13,13,0.033333333
14,14,-0.033333333
15,15,0.066666667
16,16,-0.066666667
17,17,0.025
18,18,-0.016666667
19,19,-0.041666667
20,20,0.033333333
21,21,0.016666667
22,22,0.133333333
23,23,-0.033333333
24,24,0
25,25,0
26,26,0
27,27,-0.066666667
28,28,0.041666667
29,29,-0.041666667
30,30,0.016666667
31,31,0.05
32,32,0.016666667
33,33,-0.008333333
34,34,-0.016666667
35,35,0.033333333
36,36,0.05
37,37,0.016666667
38,38,-0.083333333
39,39,-0.05
40,40,0.008333333
41,41,-0.025
42,42,0.091666667
43,43,-0.058333333
44,44,0.016666667
45,45,0.058333333
46,46,-0.016666667
47,47,-0.008333333
48,48,0.008333333
49,49,-0.05
50,50,-0.016666667
51,51,-0.05
52,52,0.075
53,53,-0.016666667
54,54,0.025
55,55,-0.033333333
56,56,-0.025
57,57,-0.016666667
58,58,-0.016666667
59,59,0.058333333
60,60,-0.016666667
61,61,-0.025
62,62,-0.05
63,63,-0.058333333
64,64,-0.033333333
65,65,-0.041666667
66,66,0.058333333
67,67,-0.025
68,68,-0.033333333
69,69,0
70,70,-0.016666667
71,71,-0.033333333
72,72,0.041666667
73,73,-0.008333333
74,74,-0.016666667
75,75,0
76,76,-0.075
77,77,0.008333333
78,78,0
79,79,-0.025
80,80,0.05
81,81,0.008333333
82,82,-0.025
83,83,0.008333333
84,84,-0.025
85,85,0.025
86,86,-0.041666667
87,87,-0.058333333
88,88,-0.016666667
89,89,-0.008333333
90,90,0.016666667
91,91,0.016666667
92,92,-0.075
93,93,-0.016666667
94,94,-0.008333333
95,95,0
96,96,-0.1
97,97,0.008333333
98,98,-0.008333333
99,99,0.05
100,100,0.025
101,101,-0.008333333
102,102,0
103,103,0.041666667
104,104,-0.033333333
105,105,-0.025
106,106,-0.025
107,107,0.066666667
108,108,0
109,109,-0.05
110,110,-0.025
111,111,0
112,112,0.058333333
113,113,0
114,114,-0.025
115,115,0
116,116,-0.033333333
117,117,0
118,118,0
119,119,0.008333333
120,120,-0.083333333
