replicate,stat
1,0
2,0
3,0
4,-0.25
5,0
6,-0.25
7,0
8,0
9,-0.25
10,0
11,-0.25
12,0.25
13,0
14,0.25
15,0.5
16,0
17,0
18,0
19,0
20,-0.5
21,0.5
22,0
23,0.25
24,0
25,0.25
26,0
27,0.25
28,0.25
29,-0.25
30,0
31,0.25
32,0
33,-0.25
34,0.25
35,-0.25
36,0.25
37,0
38,0
39,-0.25
40,0.5
41,0.5
42,0
43,0
44,-0.25
45,0
46,-0.25
47,0
48,0
49,0
50,0
51,-0.25
52,0
53,0
54,-0.25
55,-0.5
56,0.25
57,-0.25
58,0.25
59,-0.25
60,0.25
61,-0.25
62,0
63,-0.25
64,0
65,-0.25
66,0
67,-0.25
68,-0.25
69,0
70,0.25
71,0.25
72,0
73,0.25
74,0
75,0.25
76,0
77,0.25
78,0.25
79,-0.25
80,0
81,0
82,0.25
83,-0.25
84,-0.25
85,0
86,0
87,0
88,0
89,0
90,-0.25
91,0
92,0.25
93,-0.25
94,0
95,0.25
96,0
97,0
98,-0.25
99,0.25
100,0.25
101,0.25
102,0
103,-0.25
104,-0.25
105,0
106,0
107,0
108,0.5
109,0
110,0
111,0.25
112,0
113,0.25
114,0.25
115,0
116,0.25
117,0
118,-0.5
119,0
120,0
121,0
122,-0.25
123,0
124,0
125,-0.25
126,-0.25
127,0
128,0
129,0
130,0.25
131,0
132,0.25
133,-0.25
134,0
135,0
136,0.25
137,0
138,0.25
139,0
140,0
141,0
142,0.5
143,0
144,-0.25
145,0
146,-0.5
147,0
148,0.25
149,0
150,0
151,-0.25
152,0
153,0.25
154,-0.25
155,0.25
156,0
157,0
158,-0.5
159,-0.5
160,0
161,0.25
162,0.25
163,0
164,0
165,0
166,0
167,-0.5
168,0.25
169,0
170,-0.25
171,-0.25
172,-0.25
173,-0.5
174,0
175,-0.25
176,-0.25
177,0.25
178,0
179,-0.25
180,0
181,-0.25
182,0
183,0
184,0
185,-0.25
186,0
187,0.25
188,0
189,0
190,0
191,0
192,-0.5
193,0.25
194,0
195,-0.25
196,0
197,-0.25
198,0.5
199,0
200,-0.25
201,0
202,0
203,0.25
204,-0.25
205,0
206,-0.25
207,0.5
208,-0.25
209,0.25
210,0
211,0.25
