replicate,stat
1,0.8
2,0.833333333
3,0.9
4,0.833333333
5,0.766666667
6,0.933333333
7,0.766666667
8,0.966666667
9,0.933333333
10,0.766666667
11,0.866666667
12,0.8
13,0.8
14,0.766666667
15,0.9
16,0.8
17,0.866666667
18,0.933333333
19,0.8
20,0.933333333
21,0.833333333
22,0.8
23,0.8
24,0.8
25,0.866666667
26,0.933333333
27,0.9
28,0.8
29,0.966666667
30,0.733333333
31,0.833333333
32,0.733333333
33,0.866666667
34,0.8
35,0.9
36,0.9
37,0.933333333
38,0.8
39,0.966666667
40,0.966666667
41,0.9
42,0.933333333
43,0.833333333
44,0.933333333
45,0.9
46,0.733333333
47,0.866666667
48,0.933333333
49,0.866666667
50,0.9
51,0.766666667
52,0.933333333
53,0.9
54,0.766666667
55,0.966666667
56,0.866666667
57,0.866666667
58,0.8
59,0.866666667
60,0.866666667
61,0.766666667
62,0.666666667
63,0.833333333
64,0.666666667
65,0.8
66,0.833333333
67,0.766666667
68,0.8
69,0.866666667
70,0.933333333
71,0.833333333
72,0.866666667
73,0.866666667
74,0.8
75,0.666666667
76,0.933333333
77,0.866666667
78,0.833333333
79,0.833333333
80,0.833333333
81,0.9
82,0.866666667
83,0.833333333
84,0.9
85,0.833333333
86,0.8
87,0.966666667
88,0.866666667
89,0.766666667
90,0.833333333
91,0.833333333
92,0.9
93,0.833333333
94,0.766666667
95,0.9
96,0.966666667
97,0.833333333
98,0.9
99,0.766666667
100,0.766666667
101,0.766666667
102,0.833333333
103,0.7
104,0.9
105,0.733333333
106,0.933333333
107,0.833333333
108,0.933333333
109,0.833333333
110,0.8
111,0.766666667
112,0.8
113,0.933333333
114,0.833333333
115,0.9
116,0.9
117,0.8
118,0.966666667
119,0.7
120,0.833333333
121,0.866666667
122,0.766666667
123,0.7
124,0.9
125,0.8
126,0.933333333
127,0.966666667
128,0.966666667
129,0.833333333
130,0.9
131,0.933333333
132,0.833333333
133,0.9
134,0.8
135,0.866666667
136,0.866666667
137,0.766666667
138,0.833333333
139,0.7
140,0.933333333
141,0.8
142,0.766666667
143,0.9
144,0.766666667
145,0.733333333
146,0.866666667
147,0.8
148,0.833333333
149,0.733333333
150,0.933333333
151,0.866666667
152,0.866666667
153,0.8
154,0.933333333
155,0.833333333
156,0.866666667
157,0.833333333
158,0.866666667
159,0.833333333
160,0.933333333
161,0.833333333
162,0.833333333
163,0.866666667
164,0.833333333
165,0.833333333
166,0.933333333
167,0.8
168,0.833333333
169,0.833333333
170,0.9
171,0.766666667
172,0.833333333
173,0.866666667
174,0.833333333
175,0.8
176,0.766666667
177,0.666666667
178,0.8
179,0.9
180,0.7
181,0.966666667
182,0.933333333
183,0.8
184,0.7
185,0.8
186,0.866666667
187,0.766666667
188,0.666666667
189,0.833333333
190,0.966666667
191,0.833333333
192,0.766666667
193,0.833333333
194,0.833333333
195,0.766666667
196,0.866666667
197,0.866666667
198,0.833333333
199,0.866666667
200,0.733333333
201,0.7
202,0.933333333
203,0.733333333
204,0.733333333
205,0.833333333
206,0.6
207,0.9
208,0.833333333
209,0.966666667
210,0.8
211,0.833333333
212,0.933333333
213,0.8
214,0.866666667
215,0.8
216,0.766666667
217,0.766666667
218,0.9
219,0.866666667
220,0.8
221,0.866666667
222,0.9
223,0.833333333
224,0.933333333
225,0.866666667
226,0.833333333
227,0.566666667
228,0.833333333
229,0.8
230,0.766666667
231,0.8
232,0.866666667
233,0.833333333
234,0.9
235,0.833333333
236,1
237,0.866666667
238,0.9
239,0.8
240,0.933333333
241,0.9
242,0.9
243,0.8
244,0.866666667
245,0.833333333
246,0.7
247,0.733333333
248,0.833333333
249,0.833333333
